Comment,Description,Designator,Footprint,LibRef,Quantity

"0.1u","C1206 68,000 pF X7R 10.00% 50 V","C1","FP-C1206C-EB-MFG","CMP-1037-04092-2","1"
"27p","","C2, C3","CAPC1005X55X25LL05T10","CMP-2008-03917-1","2"
"100n","Cap Ceramic 100nF 50V X7R ±10% Pad SMD 0603 +125°C T/R","C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C22, C32, C33, C36, C37","FP-CL10-IPC_A","CMP-13271-000587-1","17"
"2.2u","","C16, C20, C21, C34, C35, C38","CAPC2013X135X50ML10T20","CMP-2007-03455-1","6"
"1u","","C17, C18, C23","CAPC2013X145X50LL20T25","CMP-1036-04746-2","3"
"10n","CC0402 10 nF X7R 10.00% 16 V","C19","FP-CC0402-MFG","CMP-03422-000420-1","1"
"1u","","C24","CAPC1608X90X35LL15T15","CMP-2006-02298-2","1"
"4.7u","CAP CER 4.7UF 50V X7R 1206","C25, C26","FP-CC1206-1_25-MFG","CMP-03422-000173-1","2"
"22u","CAP CER 22UF 6.3V X5R 0805","C27","FP-C0805C226M9PACTU-MFG","CMP-2007-01021-2","1"
"10u","CAP CER 10UF 6.3V X5R 0805","C28","FP-C0805C106K9PACTU-MFG","CMP-03020-034676-1","1"
"10u","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X5R, 15%, 10%, 16V","C29","FP-GRM21B-0_1-MFG","CMP-2007-03534-2","1"
"0.1u","CAP CER 0.1UF 16V X7R 0402, CAP CER 0.1UF 10V X5R 0402","C30, C31","FP-C0402-BB-MFG","CMP-2008-02108-2, CMP-2008-02046-2","2"
"HSMG-C170","Chip LED, Green, 2.2 V, -40 to 85 degC, 2-Pin SMD, Pb-Free, Tape and Reel","DS1, DS2, DS3","AVAG-HSMX-C170_V","CMP-2000-05062-1","3"
"1206L075/16WR","PTC RESET FUSE 16V 750MA 1206","F1","FP-1206L-MFG","CMP-08606-000003-1","1"
"BLM21AG601SN1J","Chip Ferrite Bead, 0805, 600Ù @ 100MHz, 0.2Ù, 25%, 700mA","FB1","FP-BLM21-0_2-t0_85-e0_5-IPC_A","CMP-0686-00643-3","1"
"53047-0910","CONN HEADER VERT 9POS 1.25MM","J1, J2","FP-53047-0910-MFG","CMP-04776-000285-1","2"
"533980571","CONN HEADER SMD 5POS 1.25MM","J3","FP-533980571-MFG","CMP-2000-05250-2","1"
