Altium Designer Pick and Place Locations
D:\ProgramFiles\Altium\AltiumDesignerProjects\EdgeMax PCB\Project Outputs for EdgeMax PCB\Pick Place for EdgeMax_PCB.csv

========================================================================================================================
File Design Information:

Date:       02/10/25
Time:       19:18
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U5","RMLV0808BGSB-4S2#AA0","TopLayer","TSOP80P1180X120_HS-45_PTSB0044GG-A_N","149.8854","79.7560","270","SRAM Chip Async Single 3V 8M-Bit 1024K x 8 55ns 44-Pin TSOP-II Tray"
"U1","STM32H743ZIT6","TopLayer","FP-LQFP144-1A-MFG","109.6743","79.7560","0","IC MCU 32BIT 2MB FLASH 144LQFP"
"C34","2.2u","TopLayer","CAPC2013X135X50ML10T20","149.8854","90.9320","0",""
"C13","100n","TopLayer","FP-CL10-IPC_A","101.2190","66.4210","180","Cap Ceramic 100nF 50V X7R ±10% Pad SMD 0603 +125°C T/R"
"C3","27p","TopLayer","CAPC1005X55X25LL05T10","92.3290","86.1060","270",""
"R26","2.2k","TopLayer","RESC1005X40X25LL05T05","126.4920","83.5850","270","Precision Thick Film Chip Resistor, 2.2 kOhm, 100 mW, 1%, -55 to 155 degC, 2-Pin SMD (0402), RoHS, Tape and Reel"
"R25","2.2k","TopLayer","RESC1005X40X25LL05T05","126.4920","81.1530","90","Precision Thick Film Chip Resistor, 2.2 kOhm, 100 mW, 1%, -55 to 155 degC, 2-Pin SMD (0402), RoHS, Tape and Reel"
"Y1","ABM7-32.000MHZ-D2Y-T","TopLayer","FP-ABM7-MFG","88.5190","87.2490","90","Crystal 32MHz ±20ppm 18pF SMD-2 6mm x 3.5mm"
"U7","ATECC608B-MAHDA-S","TopLayer","FP-C04-21355-Q4B-IPC_B","83.5660","91.2520","0","IC AUTHENTICATION CHIP"
"U6","MT25QL256ABA1EW9-0SIT","TopLayer","FP-W9-IPC_C","82.1535","61.5950","0","IC FLASH 256M SPI 133MHZ 8WPDFN"
